employee_id,effective_date,job_function,job_level,pay_rate_type,location,max_tenure,max_role_tenure,max_promotions,employee_status
1,2022-01-01,Strategy,L2,Hourly,Orlando,796,796,1.0,Terminated
3,2022-01-01,Strategy,L2,Hourly,MoonMart1,679,679,1.0,Terminated
6,2022-07-01,Strategy,L2,Hourly,Orlando,622,622,1.0,Terminated
7,2023-04-01,Strategy,L3,Salary,MoonMart1,1182,1182,1.0,Terminated
8,2022-04-01,Strategy,L2,Hourly,MoonMart2,674,674,1.0,Terminated
9,2022-10-01,Strategy,L2,Hourly,Orlando,522,522,1.0,Terminated
10,2022-04-01,Strategy,L2,Hourly,MoonMart1,247,247,1.0,Terminated
12,2024-10-01,Strategy,L3,Salary,MoonMart2,1068,731,2.0,Active
13,2023-04-01,Strategy,L2,Hourly,Orlando,908,908,1.0,Terminated
14,2022-01-01,Strategy,L2,Hourly,Orlando,107,107,1.0,Terminated
15,2022-01-01,Strategy,L2,Hourly,MoonMart1,281,281,1.0,Terminated
17,2022-10-01,Strategy,L2,Hourly,Orlando,752,752,1.0,Terminated
19,2022-01-01,Strategy,L2,Hourly,MoonMart1,406,406,1.0,Terminated
22,2022-10-01,Strategy,L2,Hourly,Orlando,456,456,1.0,Terminated
23,2022-01-01,Strategy,L2,Hourly,Orlando,434,434,1.0,Terminated
24,2022-10-01,Strategy,L2,Hourly,Orlando,531,531,1.0,Terminated
25,2023-10-01,Strategy,L3,Salary,MoonMart1,774,365,2.0,Terminated
26,2022-10-01,Strategy,L3,Salary,Orlando,435,435,1.0,Terminated
27,2023-10-01,Strategy,L3,Salary,Orlando,740,740,1.0,Terminated
28,2022-07-01,Strategy,L2,Hourly,Orlando,958,958,1.0,Terminated
29,2022-07-01,Strategy,L2,Hourly,Orlando,708,708,1.0,Terminated
30,2022-10-01,Strategy,L2,Hourly,MoonMart2,858,858,1.0,Terminated
31,2022-04-01,Strategy,L2,Hourly,MoonMart1,523,523,1.0,Terminated
32,2022-01-01,Strategy,L3,Salary,MoonMart2,223,223,1.0,Terminated
33,2022-07-01,Strategy,L2,Hourly,Orlando,555,555,1.0,Terminated
34,2022-04-01,Strategy,L2,Hourly,MoonMart2,365,365,1.0,Terminated
35,2022-01-01,Strategy,L2,Hourly,Orlando,135,135,1.0,Terminated
36,2023-04-01,Strategy,L2,Hourly,MoonMart1,552,552,1.0,Terminated
37,2023-01-01,Strategy,L2,Hourly,Orlando,563,563,1.0,Terminated
38,2023-04-01,Strategy,L2,Hourly,Orlando,731,731,1.0,Terminated
39,2022-10-01,Strategy,L2,Hourly,MoonMart1,929,929,1.0,Terminated
40,2022-07-01,Strategy,L2,Hourly,MoonMart1,444,444,1.0,Terminated
41,2024-10-01,Strategy,L3,Salary,Orlando,1042,1042,1.0,Active
42,2022-01-01,Strategy,L2,Hourly,MoonMart1,120,120,1.0,Terminated
43,2022-07-01,Strategy,L2,Hourly,Orlando,610,610,1.0,Terminated
45,2023-01-01,Strategy,L3,Salary,MoonMart2,615,615,1.0,Terminated
46,2023-04-01,Strategy,L2,Hourly,Orlando,878,878,1.0,Terminated
47,2023-01-01,Strategy,L2,Hourly,Orlando,606,606,1.0,Terminated
48,2022-04-01,Strategy,L2,Hourly,MoonMart2,438,438,1.0,Terminated
49,2022-01-01,Strategy,L2,Hourly,MoonMart2,253,253,1.0,Terminated
50,2022-10-01,Strategy,L2,Hourly,MoonMart1,657,657,1.0,Terminated
51,2022-07-01,Strategy,L2,Hourly,Orlando,567,567,1.0,Terminated
53,2022-07-01,Strategy,L3,Salary,Orlando,339,339,1.0,Terminated
54,2022-01-01,Strategy,L2,Hourly,Orlando,157,157,1.0,Terminated
57,2022-01-01,Strategy,L3,Salary,Orlando,409,409,1.0,Terminated
59,2022-04-01,Strategy,L3,Salary,MoonMart1,270,270,1.0,Terminated
60,2022-10-01,Strategy,L3,Salary,Orlando,400,400,1.0,Terminated
61,2023-01-01,Strategy,L3,Salary,Orlando,515,515,1.0,Terminated
